ItemID,year,WeekIdentifier,SalesChannel,Territory,NewBasePrice,SellingStoresRatio,SalesQuantity,revenues,Category,SubCategory,Cat,SubCat,Item
He0fYYc63,2018,42,Stores,YXX,25.08,0.0929,6.0,150.48,HZlnatsW,yo2ZtUyf,HZln,yo2Z,He0fY
He0fYYc63,2018,42,Stores,AXX,20.28,0.0732,2.0,40.56,HZlnatsW,yo2ZtUyf,HZln,yo2Z,He0fY
h4NaW1c90,2018,42,Stores,YXX,20.21,0.0079,5.0,101.05,xF4EZaTy,AunzRwr2,xF4E,Aunz,h4NaW
h4NaW1c90,2018,42,Stores,AXX,20.21,0.4577,119.0,2404.99,xF4EZaTy,AunzRwr2,xF4E,Aunz,h4NaW
9n_f9g417,2018,42,Stores,YXX,24.56,0.037,13.0,319.28,bwPDJC3m,xdDed-iG,bwPD,xdDe,9n_f9
9n_f9g417,2018,42,Stores,AXX,24.56,0.4923,147.0,3610.32,bwPDJC3m,xdDed-iG,bwPD,xdDe,9n_f9
0buNITk59,2018,42,Stores,YXX,25.16,0.1727,16.0,402.56,xF4EZaTy,UIpuKoxR,xF4E,UIpu,0buNI
0buNITk59,2018,42,Stores,AXX,25.16,0.8593000000000001,157.0,3950.12,xF4EZaTy,UIpuKoxR,xF4E,UIpu,0buNI
kNpVu2o59,2018,42,Stores,YXX,22.75,0.0347,8.0,182.0,bwPDJC3m,xdDed-iG,bwPD,xdDe,kNpVu
ZBeEZhA30,2018,42,Stores,YXX,30.51,0.0814,9.0,274.59,HZlnatsW,yo2ZtUyf,HZln,yo2Z,ZBeEZ
ZBeEZhA30,2018,42,Stores,AXX,30.51,0.3398,65.0,1983.15,HZlnatsW,yo2ZtUyf,HZln,yo2Z,ZBeEZ
kNpVu2o59,2018,42,Stores,AXX,22.75,0.2947,66.0,1501.5,bwPDJC3m,xdDed-iG,bwPD,xdDe,kNpVu
b1gjvDw99,2018,42,Stores,YXX,15.37,0.0187,4.0,61.48,HZlnatsW,14iCK1vp,HZln,14iC,b1gjv
b1gjvDw99,2018,42,Stores,AXX,15.37,0.2111,40.0,614.8,HZlnatsW,14iCK1vp,HZln,14iC,b1gjv
CzbHWb461,2018,42,Stores,YXX,20.08,0.1424,15.0,301.2,xF4EZaTy,UIpuKoxR,xF4E,UIpu,CzbHW
CzbHWb461,2018,42,Stores,AXX,20.28,0.7362000000000001,138.0,2798.64,xF4EZaTy,UIpuKoxR,xF4E,UIpu,CzbHW
NWpKkFc27,2018,42,Stores,YXX,20.96,0.1732,42.0,880.32,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,NWpKk
NWpKkFc27,2018,42,Stores,AXX,18.38,0.9372,414.0,7609.32,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,NWpKk
VDFm0X892,2018,42,Stores,YXX,12.46,0.1143,17.0,211.82,xF4EZaTy,AunzRwr2,xF4E,Aunz,VDFm0
VDFm0X892,2018,42,Stores,AXX,13.01,0.6805,174.0,2263.74,xF4EZaTy,AunzRwr2,xF4E,Aunz,VDFm0
TNoPm4w52,2018,42,Stores,AXX,21.59,0.1136,43.0,928.37,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,TNoPm
xWuIFzs92,2018,42,Stores,YXX,22.14,0.086,3.0,66.42,bwPDJC3m,xdDed-iG,bwPD,xdDe,xWuIF
TNoPm4w52,2018,42,Stores,YXX,21.59,0.053,1.0,21.59,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,TNoPm
xWuIFzs92,2018,42,Stores,AXX,22.14,0.1112,16.0,354.24,bwPDJC3m,xdDed-iG,bwPD,xdDe,xWuIF
Sp6FmlM84,2018,42,Stores,YXX,16.46,0.1167999999999999,14.0,230.44,xF4EZaTy,AunzRwr2,xF4E,Aunz,Sp6Fm
Sp6FmlM84,2018,42,Stores,AXX,15.01,0.6327999999999999,139.0,2086.39,xF4EZaTy,AunzRwr2,xF4E,Aunz,Sp6Fm
o1xNODo70,2018,42,Stores,YXX,17.95,0.0239,6.0,107.7,xF4EZaTy,AunzRwr2,xF4E,Aunz,o1xNO
o1xNODo70,2018,42,Stores,AXX,17.95,0.1331999999999999,33.0,592.35,xF4EZaTy,AunzRwr2,xF4E,Aunz,o1xNO
Xq3xDE495,2018,42,Stores,YXX,24.65,0.0384,7.0,172.55,HZlnatsW,14iCK1vp,HZln,14iC,Xq3xD
Xq3xDE495,2018,42,Stores,AXX,24.65,0.1778,36.0,887.4,HZlnatsW,14iCK1vp,HZln,14iC,Xq3xD
UvtEpOI58,2018,42,Stores,AXX,17.89,0.1098,15.0,268.35,HZlnatsW,14iCK1vp,HZln,14iC,UvtEp
grcWcmA91,2018,42,Stores,YXX,21.09,0.0897,7.0,147.63,HZlnatsW,14iCK1vp,HZln,14iC,grcWc
grcWcmA91,2018,42,Stores,AXX,21.09,0.3356,52.0,1096.68,HZlnatsW,14iCK1vp,HZln,14iC,grcWc
UvtEpOI58,2018,42,Stores,YXX,17.89,0.0388,4.0,71.56,HZlnatsW,14iCK1vp,HZln,14iC,UvtEp
2TeO2yY67,2018,42,Stores,AXX,23.77,0.0369,5.0,118.85,xF4EZaTy,AunzRwr2,xF4E,Aunz,2TeO2
GfgvS-U47,2018,42,Stores,YXX,20.87,0.0169,6.0,125.22,HZlnatsW,OzTP0IWS,HZln,OzTP,GfgvS
GfgvS-U47,2018,42,Stores,AXX,20.87,0.1457,22.0,459.14,HZlnatsW,OzTP0IWS,HZln,OzTP,GfgvS
te5tHWY15,2018,42,Stores,AXX,21.17,0.0401,8.0,169.36,xF4EZaTy,AunzRwr2,xF4E,Aunz,te5tH
PhF8UNg40,2018,42,Stores,AXX,18.46,0.0547,6.0,110.76,bwPDJC3m,xdDed-iG,bwPD,xdDe,PhF8U
xIdqOfc54,2018,42,Stores,YXX,19.65,0.0693999999999999,16.0,314.4,bwPDJC3m,xdDed-iG,bwPD,xdDe,xIdqO
xIdqOfc54,2018,42,Stores,AXX,19.65,0.432,92.0,1807.8,bwPDJC3m,xdDed-iG,bwPD,xdDe,xIdqO
jY0LIAk94,2018,42,Stores,YXX,15.05,0.2239,20.0,301.0,HZlnatsW,yo2ZtUyf,HZln,yo2Z,jY0LI
jY0LIAk94,2018,42,Stores,AXX,15.05,0.80925,281.0,4229.05,HZlnatsW,yo2ZtUyf,HZln,yo2Z,jY0LI
I4t3gpQ29,2018,42,Stores,YXX,18.91,0.0573,9.0,170.19,xF4EZaTy,sldfL1J4,xF4E,sldf,I4t3g
I4t3gpQ29,2018,42,Stores,AXX,14.23,0.2561,28.0,398.44,xF4EZaTy,sldfL1J4,xF4E,sldf,I4t3g
5bEtm6430,2018,42,Stores,YXX,20.94,0.0915,5.0,104.7,xF4EZaTy,AunzRwr2,xF4E,Aunz,5bEtm
5bEtm6430,2018,42,Stores,AXX,20.94,0.1753,20.0,418.8,xF4EZaTy,AunzRwr2,xF4E,Aunz,5bEtm
9C_KRCs69,2018,42,Stores,YXX,15.83,0.1145,7.0,110.81,HZlnatsW,yo2ZtUyf,HZln,yo2Z,9C_KR
9C_KRCs69,2018,42,Stores,AXX,17.48,1.0832,47.0,821.56,HZlnatsW,yo2ZtUyf,HZln,yo2Z,9C_KR
hQjJxUI52,2018,42,Stores,YXX,12.8,0.2145,20.0,256.0,xF4EZaTy,sldfL1J4,xF4E,sldf,hQjJx
hQjJxUI52,2018,42,Stores,AXX,12.8,0.7478,130.0,1664.0,xF4EZaTy,sldfL1J4,xF4E,sldf,hQjJx
OldxBNE85,2018,42,Stores,AXX,20.72,0.65005,388.0,8039.36,xF4EZaTy,AunzRwr2,xF4E,Aunz,OldxB
OldxBNE85,2018,42,Stores,YXX,20.72,0.2279,18.0,372.96,xF4EZaTy,AunzRwr2,xF4E,Aunz,OldxB
dtYQMwk84,2018,42,Stores,YXX,22.99,0.0218,8.0,183.92,bwPDJC3m,xdDed-iG,bwPD,xdDe,dtYQM
dtYQMwk84,2018,42,Stores,AXX,22.99,0.1449,57.0,1310.43,bwPDJC3m,xdDed-iG,bwPD,xdDe,dtYQM
28sj_po12,2018,42,Stores,YXX,20.08,0.0698,4.0,80.32,xF4EZaTy,AunzRwr2,xF4E,Aunz,28sj_
28sj_po12,2018,42,Stores,AXX,18.28,0.2317,75.0,1371.0,xF4EZaTy,AunzRwr2,xF4E,Aunz,28sj_
52EVihM31,2018,42,Stores,YXX,22.86,0.0449,5.0,114.3,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,52EVi
52EVihM31,2018,42,Stores,AXX,22.86,0.1053,12.0,274.32,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,52EVi
BtTWel079,2018,43,Stores,YXX,13.11,0.0729,3.0,39.33,xF4EZaTy,AunzRwr2,xF4E,Aunz,BtTWe
BtTWel079,2018,43,Stores,AXX,10.88,0.3414,46.0,500.48,xF4EZaTy,AunzRwr2,xF4E,Aunz,BtTWe
HQj3Vyg67,2018,43,Stores,AXX,16.03,0.8351000000000001,451.0,7229.53,xF4EZaTy,AunzRwr2,xF4E,Aunz,HQj3V
HQj3Vyg67,2018,43,Stores,YXX,20.16,0.0683,9.0,181.44,xF4EZaTy,AunzRwr2,xF4E,Aunz,HQj3V
yYAY5pI85,2018,43,Stores,YXX,25.33,0.1784,7.0,177.31,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
yYAY5pI85,2018,43,Stores,AXX,23.08,0.61005,56.0,1292.48,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
He0fYYc63,2018,43,Stores,YXX,24.08,0.0389,4.0,96.32,HZlnatsW,yo2ZtUyf,HZln,yo2Z,He0fY
He0fYYc63,2018,43,Stores,AXX,22.28,0.0443,2.0,44.56,HZlnatsW,yo2ZtUyf,HZln,yo2Z,He0fY
h4NaW1c90,2018,43,Stores,YXX,20.21,0.0547,6.0,121.26,xF4EZaTy,AunzRwr2,xF4E,Aunz,h4NaW
h4NaW1c90,2018,43,Stores,AXX,20.21,0.5764,249.0,5032.29,xF4EZaTy,AunzRwr2,xF4E,Aunz,h4NaW
9n_f9g417,2018,43,Stores,YXX,24.56,0.0578999999999999,11.0,270.16,bwPDJC3m,xdDed-iG,bwPD,xdDe,9n_f9
9n_f9g417,2018,43,Stores,AXX,24.56,0.5671,193.0,4740.08,bwPDJC3m,xdDed-iG,bwPD,xdDe,9n_f9
0buNITk59,2018,43,Stores,YXX,25.16,0.1016,19.0,478.04,xF4EZaTy,UIpuKoxR,xF4E,UIpu,0buNI
0buNITk59,2018,43,Stores,AXX,25.16,1.0593,189.0,4755.24,xF4EZaTy,UIpuKoxR,xF4E,UIpu,0buNI
ZBeEZhA30,2018,43,Stores,YXX,30.51,0.0325,7.0,213.57,HZlnatsW,yo2ZtUyf,HZln,yo2Z,ZBeEZ
ZBeEZhA30,2018,43,Stores,AXX,30.51,0.3408,67.0,2044.17,HZlnatsW,yo2ZtUyf,HZln,yo2Z,ZBeEZ
kNpVu2o59,2018,43,Stores,YXX,22.75,0.0775,8.0,182.0,bwPDJC3m,xdDed-iG,bwPD,xdDe,kNpVu
kNpVu2o59,2018,43,Stores,AXX,22.75,0.3932,101.0,2297.75,bwPDJC3m,xdDed-iG,bwPD,xdDe,kNpVu
b1gjvDw99,2018,43,Stores,YXX,15.37,0.0568,3.0,46.11,HZlnatsW,14iCK1vp,HZln,14iC,b1gjv
b1gjvDw99,2018,43,Stores,AXX,15.37,0.2984,48.0,737.76,HZlnatsW,14iCK1vp,HZln,14iC,b1gjv
CzbHWb461,2018,43,Stores,AXX,17.28,0.5997,314.0,5425.92,xF4EZaTy,UIpuKoxR,xF4E,UIpu,CzbHW
